University_Name,World_Ranking,Asia_Ranking,HEC_Ranking,Location,Type,Acceptance_Rate,Publications
"University of Health Sciences, Lahore ",5132,1847,45,Lahore,Non-profit,577,811
University of Karachi,2327,690,6,Karachi,Non-profit,4,8269
University of Lahore,3644,1201,17,Lahore,Non-profit,95,3925
University of Malakand,6522,2462,77,Chakdara,Non-profit,4500,1884
University of Management and Technology - Lahore,4695,1654,30,Lahore,Non-profit,9057,1597
University of Peshawar,3040,967,12,Peshawar,Non-profit,55,4290
University of Sargodha,4644,1630,29,Sargodha,Non-profit,577,3678
"University of Science and Technology, Bannu",6553,2478,78,Bannu,Non-profit,45,1784
University of Sindh,3363,1089,13,Jamshoro,Non-profit,25,2220
University of Swat ,7284,2828,94,Swat,Public-private,577,578
University of the Punjab,1240,319,1,Lahore,Non-profit,15,9740
University of Veterinary and Animal Sciences,5351,1954,48,Lahore,Non-profit,577,2443
University of Wah ,7352,2857,97,Rawalpindi,Private,56,394
Ziauddin University,6152,2291,63,Karachi,Non-profit,577,1116
